scenario,p,severity,log_return,S_T,pnl_$
Mild tariffs / tighter language,0.3,1,0.1907499034822183,484.5346821587528,-577.0
Mild tariffs / tighter language,0.3,1,0.1168439492613888,450.01596411715815,-577.0
No new measures,0.45,0,-0.036546780550284,386.02121463132215,-577.0
No new measures,0.45,0,0.1901559401676741,484.246971786088,-577.0
Mild tariffs / tighter language,0.3,1,0.070244803960217,429.5267033714509,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.2891509251450089,299.85174930904435,2923.0
Aggressive + retaliation,0.05,3,-0.2322775332143399,317.39960876759994,2922.9999999999995
No new measures,0.45,0,0.1160925582019454,449.677953150226,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.2361903452447207,316.1601103036298,2923.0
No new measures,0.45,0,0.0864687471457344,436.5521563783416,-577.0
No new measures,0.45,0,0.0915250069310238,438.76506730251486,-577.0
Mild tariffs / tighter language,0.3,1,-0.045109786325225,382.7298249473764,-349.98249473764145
No new measures,0.45,0,0.0848732431871368,435.8561910400711,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.0051467312624783,398.3346086910197,-577.0
