scenario,p,severity,log_return,S_T
No new measures,0.45,0,0.16480076493773813,472.12315521989996
Mild tariffs / tighter language,0.3,1,-0.31122492410469266,293.3053406314524
No new measures,0.45,0,-0.06708757615291638,374.4100295365541
Aggressive tariffs / restrictions,0.2,2,0.06454546343802202,427.0856472382563
No new measures,0.45,0,-0.014068144593133816,394.79670601461686
Mild tariffs / tighter language,0.3,1,-0.2982223042449622,297.1439805840677
No new measures,0.45,0,-0.04718252295774624,381.93734840015674
No new measures,0.45,0,0.05367278365029642,422.46723451236176
Mild tariffs / tighter language,0.3,1,0.024402434907312986,410.28069343850126
No new measures,0.45,0,0.3147060245332373,548.4768831360606
Mild tariffs / tighter language,0.3,1,0.07017855846653506,429.4982501053972
Mild tariffs / tighter language,0.3,1,0.026336425615608172,411.0749402728416
No new measures,0.45,0,0.35019561490795037,568.2916320114762
No new measures,0.45,0,-0.010396187594668599,396.24904737789615
Mild tariffs / tighter language,0.3,1,-0.06379119057280722,375.646265795227
Mild tariffs / tighter language,0.3,1,0.047461903132173584,419.85147249724116
Mild tariffs / tighter language,0.3,1,-0.2771651652437548,303.46732480826165
No new measures,0.45,0,0.06602716858021115,427.718931292182
No new measures,0.45,0,0.13141175157967702,456.61969183548564
Mild tariffs / tighter language,0.3,1,-0.30200906494542695,296.0208952058443
Aggressive tariffs / restrictions,0.2,2,-0.08632112335038475,367.2776073248741
Mild tariffs / tighter language,0.3,1,-0.21866112234217946,321.7510102551498
Mild tariffs / tighter language,0.3,1,-0.027040424665750216,389.70836760322413
Mild tariffs / tighter language,0.3,1,0.11722301105086681,450.18658030880647
Mild tariffs / tighter language,0.3,1,-0.15102431826785703,344.2660606055121
Aggressive tariffs / restrictions,0.2,2,0.03345476412795227,414.01155034392036
No new measures,0.45,0,0.1667230456093787,473.03158128101074
Mild tariffs / tighter language,0.3,1,-0.13408530417457856,350.14725848102876
No new measures,0.45,0,0.09239058278833526,439.14501616536273
No new measures,0.45,0,0.14884679813057683,464.650684344858
No new measures,0.45,0,0.06563928543302708,427.55305849871246
No new measures,0.45,0,-0.05938403136384051,377.30545215853283
No new measures,0.45,0,0.14810131605939134,464.30442467154006
No new measures,0.45,0,0.032824021413447486,413.75049791193453
No new measures,0.45,0,0.05637201215397915,423.6091105124599
No new measures,0.45,0,-0.14634034657987668,345.8823755180593
No new measures,0.45,0,-0.07601910138966796,371.0808662927977
No new measures,0.45,0,-0.0298345776256596,388.6209826817433
Aggressive tariffs / restrictions,0.2,2,0.3273155628169576,555.4367112836953
Mild tariffs / tighter language,0.3,1,0.0947088268670691,440.16424244997796
No new measures,0.45,0,0.07959461120882498,433.561528280409
No new measures,0.45,0,0.23181095365378357,504.8442987071668
No new measures,0.45,0,0.10981142089407919,446.8623161405335
No new measures,0.45,0,-0.00559544450680668,398.15591077148565
No new measures,0.45,0,-0.10226987552795039,361.4664513067995
No new measures,0.45,0,0.16598920977725895,472.6845810931004
Mild tariffs / tighter language,0.3,1,-0.06267597942482626,376.0654243802605
Mild tariffs / tighter language,0.3,1,0.027139355614648718,411.4051372190176
Mild tariffs / tighter language,0.3,1,0.014818799483401594,406.3674941397787
No new measures,0.45,0,0.054539231171195586,422.83343882586587
No new measures,0.45,0,-0.3677787107182537,277.1781382798617
Aggressive tariffs / restrictions,0.2,2,-0.08779122785389404,366.7380675474074
Mild tariffs / tighter language,0.3,1,-0.18693009646412564,332.1242056062837
Mild tariffs / tighter language,0.3,1,0.26908229430852365,524.0155728182079
Aggressive tariffs / restrictions,0.2,2,0.44812733192764087,626.7617225776834
Mild tariffs / tighter language,0.3,1,-0.13256170238267095,350.6811500873063
No new measures,0.45,0,0.14134380171250907,461.1774580206454
Mild tariffs / tighter language,0.3,1,0.28472692136919353,532.2780643051739
No new measures,0.45,0,0.06110597818575354,425.6192157834697
